i	j	iLIS_best	iLIS_avg	ipTM_best	src
65	52	0.709	0.694	0.89	1
64	52	0.704	0.694	0.89	1
210	54	0.702	0.681	0.92	1
64	47	0.699	0.684	0.89	1
65	47	0.697	0.681	0.89	1
0	64	0.683	0.137	0.93	1
105	64	0.680	0.136	0.94	1
103	65	0.680	0.428	0.89	1
103	64	0.676	0.649	0.89	1
210	52	0.673	0.661	0.91	1
35	36	0.666	0.583	0.62	1
25	35	0.658	0.560	0.60	1
25	232	0.654	0.624	0.60	1
25	24	0.654	0.634	0.61	1
44	58	0.650	0.639	0.87	1
23	25	0.649	0.628	0.60	1
225	215	0.649	0.636	0.80	1
3	210	0.648	0.511	0.68	1
24	36	0.648	0.566	0.63	1
45	58	0.645	0.625	0.87	1
25	231	0.645	0.613	0.60	1
210	47	0.642	0.626	0.89	1
44	50	0.639	0.597	0.50	1
232	36	0.635	0.547	0.63	1
129	140	0.630	0.585	0.83	1
231	36	0.623	0.573	0.64	1
133	129	0.621	0.596	0.82	1
210	236	0.617	0.479	0.66	1
210	103	0.616	0.235	0.78	1
210	51	0.615	0.585	0.73	1
39	239	0.615	0.186	0.90	1
78	210	0.611	0.544	0.60	1
45	50	0.607	0.584	0.49	1
44	53	0.606	0.552	0.82	1
44	49	0.605	0.576	0.52	1
210	217	0.604	0.288	0.71	1
20	141	0.602	0.302	0.62	1
210	58	0.601	0.461	0.80	1
139	129	0.596	0.566	0.81	1
45	49	0.593	0.564	0.52	1
68	100	0.593	0.578	0.80	1
202	129	0.593	0.426	0.83	1
175	177	0.592	0.559	0.70	1
175	176	0.592	0.564	0.71	1
114	37	0.590	0.565	0.45	1
230	242	0.589	0.224	0.50	1
210	239	0.588	0.357	0.81	1
114	120	0.586	0.560	0.84	1
139	130	0.583	0.494	0.81	1
45	38	0.582	0.524	0.26	1
44	38	0.581	0.432	0.28	1
44	56	0.580	0.567	0.82	1
68	250	0.579	0.550	0.81	1
140	130	0.578	0.498	0.83	1
74	115	0.577	0.351	0.43	1
44	54	0.577	0.554	0.86	1
210	218	0.576	0.319	0.72	1
211	59	0.572	0.451	0.76	1
45	52	0.568	0.530	0.87	1
45	53	0.568	0.522	0.80	1
77	19	0.568	0.520	0.55	1
44	52	0.568	0.535	0.86	1
23	36	0.567	0.510	0.61	1
44	235	0.566	0.218	0.82	1
45	55	0.566	0.548	0.80	1
44	55	0.566	0.542	0.81	1
76	19	0.563	0.507	0.52	1
45	56	0.563	0.555	0.82	1
202	130	0.562	0.542	0.84	1
48	53	0.561	0.399	0.77	1
45	39	0.555	0.507	0.26	1
210	148	0.554	0.261	0.55	1
0	133	0.551	0.285	0.40	1
37	239	0.549	0.491	0.86	1
45	210	0.547	0.334	0.52	1
45	54	0.546	0.521	0.84	1
77	174	0.542	0.222	0.54	1
116	242	0.541	0.481	0.54	1
44	210	0.541	0.325	0.54	1
44	47	0.540	0.511	0.86	1
135	37	0.540	0.293	0.46	1
134	115	0.540	0.108	0.50	1
115	208	0.536	0.308	0.57	1
45	47	0.536	0.506	0.88	1
117	242	0.534	0.487	0.48	1
210	56	0.531	0.414	0.76	1
56	64	0.531	0.432	0.79	1
210	65	0.529	0.174	0.76	1
33	247	0.529	0.492	0.52	1
10	133	0.528	0.199	0.39	1
120	142	0.527	0.499	0.79	1
44	57	0.526	0.480	0.70	1
184	174	0.526	0.138	0.31	1
121	142	0.526	0.489	0.76	1
134	37	0.524	0.249	0.46	1
173	239	0.522	0.352	0.81	1
153	79	0.521	0.489	0.69	1
39	159	0.520	0.104	0.40	1
205	19	0.520	0.456	0.40	1
48	38	0.519	0.155	0.78	1
174	154	0.518	0.348	0.29	1
56	58	0.518	0.231	0.79	1
211	158	0.516	0.221	0.46	1
38	159	0.515	0.103	0.41	1
55	56	0.515	0.440	0.72	1
48	50	0.514	0.177	0.81	1
186	139	0.514	0.222	0.77	1
8	182	0.512	0.275	0.59	1
178	158	0.512	0.468	0.44	1
114	121	0.510	0.479	0.74	1
44	39	0.509	0.423	0.34	1
65	56	0.509	0.412	0.77	1
174	182	0.508	0.470	0.58	1
55	109	0.506	0.486	0.72	1
18	120	0.506	0.466	0.82	1
137	153	0.505	0.380	0.35	1
60	239	0.503	0.157	0.79	1
211	116	0.502	0.185	0.52	1
105	154	0.500	0.175	0.38	1
178	27	0.499	0.438	0.57	1
12	242	0.497	0.327	0.65	1
136	98	0.496	0.211	0.76	1
2	218	0.496	0.166	0.73	1
45	48	0.496	0.437	0.78	1
16	151	0.495	0.250	0.70	1
21	220	0.495	0.331	0.24	1
2	217	0.494	0.099	0.74	1
44	20	0.494	0.099	0.51	1
136	153	0.493	0.360	0.35	1
237	63	0.493	0.194	0.76	1
49	217	0.492	0.455	0.71	1
7	178	0.491	0.452	0.78	1
77	49	0.491	0.172	0.53	1
44	51	0.490	0.458	0.72	1
114	122	0.490	0.453	0.75	1
10	154	0.489	0.241	0.38	1
15	37	0.489	0.201	0.44	1
174	127	0.488	0.181	0.26	1
7	136	0.487	0.311	0.81	1
44	48	0.486	0.433	0.77	1
211	218	0.486	0.206	0.71	1
78	211	0.484	0.392	0.59	1
114	53	0.484	0.430	0.73	1
136	186	0.484	0.232	0.77	1
9	148	0.484	0.365	0.27	1
22	74	0.483	0.338	0.41	1
44	230	0.483	0.150	0.50	1
39	98	0.482	0.118	0.70	1
114	123	0.482	0.450	0.72	1
37	120	0.481	0.466	0.81	1
13	208	0.480	0.247	0.52	1
44	153	0.480	0.100	0.61	1
132	140	0.478	0.372	0.66	1
142	122	0.478	0.461	0.72	1
45	57	0.478	0.432	0.69	1
211	27	0.478	0.390	0.60	1
116	158	0.477	0.294	0.45	1
2	39	0.477	0.291	0.53	1
115	27	0.475	0.338	0.58	1
123	142	0.474	0.458	0.75	1
122	130	0.474	0.422	0.78	1
10	177	0.474	0.372	0.50	1
124	120	0.474	0.315	0.81	1
39	103	0.473	0.220	0.70	1
53	56	0.473	0.375	0.72	1
114	74	0.472	0.278	0.44	1
173	182	0.471	0.417	0.57	1
56	142	0.471	0.218	0.73	1
186	140	0.471	0.238	0.76	1
76	174	0.471	0.169	0.49	1
137	158	0.471	0.280	0.51	1
45	230	0.470	0.103	0.50	1
210	129	0.470	0.240	0.71	1
136	236	0.470	0.162	0.70	1
2	192	0.469	0.122	0.73	1
57	210	0.469	0.246	0.63	1
207	87	0.467	0.186	0.69	1
174	179	0.466	0.274	0.63	1
124	148	0.466	0.273	0.27	1
0	176	0.466	0.354	0.55	1
46	179	0.465	0.130	0.68	1
39	71	0.462	0.092	0.61	1
78	19	0.462	0.283	0.60	1
121	140	0.461	0.250	0.65	1
132	232	0.461	0.398	0.68	1
210	16	0.460	0.092	0.48	1
129	248	0.459	0.241	0.76	1
151	207	0.458	0.271	0.65	1
137	27	0.458	0.274	0.66	1
18	158	0.458	0.175	0.47	1
0	154	0.458	0.154	0.37	1
105	67	0.457	0.091	0.59	1
84	138	0.457	0.116	0.47	1
210	166	0.456	0.219	0.48	1
211	50	0.456	0.289	0.36	1
38	50	0.455	0.377	0.37	1
173	247	0.455	0.123	0.29	1
137	7	0.455	0.279	0.80	1
136	27	0.455	0.369	0.66	1
45	51	0.454	0.429	0.72	1
86	218	0.454	0.212	0.71	1
114	186	0.453	0.298	0.77	1
127	247	0.452	0.259	0.35	1
119	53	0.451	0.159	0.73	1
