i	j	iLIS_best	iLIS_avg	ipTM_best
8762	8783	0.811	0.807	0.77
11336	6906	0.808	0.804	0.80
8782	8783	0.806	0.798	0.76
13026	10478	0.803	0.787	0.60
10343	10342	0.796	0.786	0.60
10410	7463	0.792	0.781	0.91
12560	12618	0.791	0.783	0.87
11570	1721	0.784	0.769	0.93
13025	126	0.782	0.761	0.61
10343	11336	0.781	0.770	0.57
9851	13367	0.779	0.776	0.94
10360	10367	0.776	0.770	0.88
2746	2208	0.774	0.752	0.75
13460	9601	0.772	0.759	0.92
11357	11354	0.769	0.763	0.91
13759	7915	0.768	0.762	0.82
13460	13361	0.768	0.748	0.33
11372	11371	0.767	0.759	0.78
13031	13022	0.767	0.752	0.74
9690	13451	0.767	0.761	0.90
10371	10375	0.766	0.671	0.75
8265	7496	0.765	0.733	0.88
11939	1234	0.765	0.750	0.88
12947	529	0.764	0.755	0.81
13361	11588	0.762	0.723	0.36
13460	13280	0.761	0.751	0.32
13280	4596	0.760	0.744	0.31
8569	4328	0.758	0.594	0.87
12558	12557	0.758	0.751	0.78
13361	9600	0.757	0.733	0.33
1145	9634	0.756	0.745	0.91
11937	3702	0.756	0.747	0.84
13361	571	0.756	0.701	0.36
619	315	0.755	0.740	0.91
13280	802	0.754	0.745	0.33
8185	9600	0.753	0.725	0.29
11888	4596	0.752	0.723	0.32
3131	3320	0.752	0.532	0.77
9007	12557	0.750	0.740	0.62
7866	13178	0.750	0.728	0.67
9730	10265	0.749	0.737	0.67
13477	10269	0.748	0.741	0.39
383	385	0.747	0.547	0.91
489	491	0.747	0.738	0.88
7441	7442	0.747	0.728	0.91
112	13445	0.746	0.737	0.93
802	31	0.745	0.711	0.32
570	13280	0.745	0.727	0.33
13036	13023	0.744	0.732	0.72
9975	9601	0.743	0.728	0.91
278	13276	0.743	0.717	0.33
6147	4596	0.742	0.708	0.34
12504	10637	0.742	0.731	0.82
12858	12059	0.741	0.725	0.81
7866	11	0.741	0.726	0.73
12937	816	0.741	0.720	0.93
4785	12009	0.741	0.734	0.92
12156	13023	0.741	0.710	0.69
552	6991	0.740	0.726	0.87
3131	9635	0.739	0.692	0.77
11695	7915	0.738	0.686	0.80
11548	3031	0.738	0.730	0.92
7869	11	0.738	0.682	0.79
13361	9601	0.738	0.706	0.92
13280	9600	0.738	0.710	0.33
31	767	0.738	0.716	0.32
812	817	0.738	0.728	0.96
3	2	0.738	0.728	0.87
13638	10299	0.738	0.724	0.46
570	767	0.737	0.719	0.30
