i	j	iLIS_best	iLIS_avg	ipTM_best
8580	8581	0.827	0.825	0.95
8584	8581	0.820	0.817	0.95
8580	8586	0.819	0.815	0.95
8580	8584	0.819	0.817	0.95
8580	8590	0.818	0.816	0.95
8586	8581	0.818	0.815	0.95
8590	8581	0.818	0.816	0.95
8580	8585	0.817	0.812	0.95
8580	8589	0.816	0.812	0.95
8580	8583	0.815	0.811	0.95
8585	8581	0.815	0.813	0.95
8604	8600	0.814	0.809	0.95
8589	8581	0.814	0.811	0.95
8580	8582	0.813	0.810	0.95
8584	8586	0.812	0.807	0.95
8583	8581	0.811	0.809	0.95
8591	8581	0.811	0.809	0.95
8604	8603	0.811	0.807	0.95
8580	8604	0.811	0.803	0.95
8604	8602	0.810	0.802	0.95
8580	8591	0.810	0.808	0.95
8609	8610	0.810	0.807	0.94
8582	8581	0.810	0.807	0.95
8584	8590	0.809	0.807	0.95
8603	8602	0.809	0.806	0.95
8600	8599	0.809	0.805	0.95
8602	8599	0.809	0.805	0.95
8603	8599	0.809	0.804	0.95
8580	8603	0.809	0.805	0.95
8602	8600	0.809	0.804	0.95
8584	8589	0.809	0.805	0.95
8581	8603	0.809	0.806	0.95
8603	8600	0.809	0.807	0.95
8581	8604	0.808	0.803	0.94
8584	8603	0.808	0.804	0.95
8604	8599	0.808	0.802	0.95
8584	8585	0.808	0.803	0.95
8591	8604	0.808	0.803	0.94
8581	8599	0.808	0.804	0.95
8584	8591	0.807	0.802	0.94
8584	8599	0.807	0.802	0.95
8580	8601	0.807	0.804	0.95
8601	8600	0.807	0.799	0.95
8586	8589	0.807	0.803	0.95
8591	8590	0.807	0.802	0.94
8581	8601	0.807	0.803	0.95
8584	8582	0.806	0.803	0.95
12273	12275	0.806	0.795	0.64
8580	8602	0.806	0.802	0.95
8604	8601	0.806	0.799	0.95
8580	8599	0.806	0.804	0.94
8583	8584	0.806	0.802	0.94
8586	8590	0.805	0.803	0.95
8584	8604	0.805	0.800	0.94
8602	8601	0.805	0.798	0.95
8585	8586	0.805	0.802	0.95
8601	8599	0.805	0.800	0.95
8583	8586	0.805	0.801	0.95
8586	8591	0.805	0.800	0.94
8590	8599	0.805	0.801	0.95
8595	8581	0.804	0.793	0.95
8584	8602	0.804	0.799	0.94
8580	8597	0.804	0.801	0.95
8583	8589	0.804	0.800	0.95
8585	8590	0.804	0.800	0.95
8590	8604	0.804	0.785	0.94
8583	8590	0.804	0.801	0.95
8580	8595	0.803	0.792	0.95
8586	8582	0.803	0.801	0.95
8590	8582	0.803	0.800	0.95
8587	8581	0.803	0.800	0.95
8589	8590	0.803	0.800	0.95
8581	8597	0.803	0.801	0.95
8591	8582	0.803	0.800	0.94
8585	8589	0.803	0.797	0.95
8581	8602	0.803	0.800	0.94
8588	8581	0.803	0.800	0.95
8585	8591	0.802	0.798	0.95
8583	8585	0.802	0.798	0.95
8584	8601	0.802	0.798	0.94
8582	8604	0.802	0.786	0.95
8580	8587	0.802	0.799	0.95
8590	8603	0.801	0.798	0.95
8603	8601	0.801	0.796	0.95
8611	8610	0.801	0.795	0.94
8586	8603	0.801	0.796	0.94
8580	8588	0.801	0.798	0.95
8594	8604	0.801	0.783	0.95
8585	8582	0.800	0.796	0.95
8595	8598	0.800	0.790	0.94
8590	8598	0.800	0.797	0.94
8589	8591	0.800	0.795	0.95
8585	8599	0.800	0.792	0.94
8584	8600	0.800	0.796	0.94
8599	8597	0.799	0.793	0.94
8580	8600	0.799	0.797	0.94
8599	8592	0.799	0.793	0.95
8594	8581	0.799	0.787	0.94
8589	8582	0.799	0.793	0.94
8580	8594	0.799	0.781	0.94
8581	8600	0.799	0.796	0.94
8591	8603	0.799	0.797	0.94
8583	8591	0.798	0.795	0.94
8611	8609	0.798	0.795	0.94
8604	8592	0.798	0.793	0.95
8586	8604	0.798	0.794	0.94
8585	8604	0.798	0.789	0.94
8604	8597	0.798	0.784	0.94
8586	8597	0.798	0.793	0.94
8581	8598	0.798	0.794	0.94
8603	8597	0.797	0.790	0.94
8591	8599	0.797	0.794	0.94
8594	8601	0.797	0.783	0.95
8586	8602	0.797	0.792	0.94
8586	8587	0.797	0.790	0.95
