i	j	iLIS_best	iLIS_avg	ipTM_best
13790	4449	0.844	0.668	0.34
8762	8783	0.821	0.803	0.77
10462	11336	0.818	0.814	0.66
8824	8843	0.811	0.801	0.72
8806	8843	0.808	0.791	0.72
8807	8843	0.808	0.791	0.72
8830	8843	0.801	0.795	0.72
8821	8843	0.801	0.795	0.72
8301	8354	0.795	0.788	0.93
8782	8783	0.794	0.787	0.76
6928	8831	0.793	0.788	0.75
8585	8587	0.793	0.787	0.95
10343	11336	0.792	0.776	0.58
8831	8808	0.791	0.768	0.73
3712	7238	0.786	0.286	0.91
12559	9635	0.784	0.777	0.69
6907	6906	0.781	0.774	0.78
8303	8355	0.779	0.752	0.94
7244	8976	0.777	0.773	0.92
7244	3712	0.777	0.262	0.91
11626	11627	0.772	0.755	0.84
13460	9601	0.772	0.751	0.92
12717	13255	0.771	0.179	0.85
6111	9635	0.770	0.738	0.89
11755	4446	0.768	0.762	0.26
9975	13361	0.763	0.727	0.37
9690	13451	0.763	0.753	0.90
11939	1234	0.760	0.708	0.86
13036	13023	0.759	0.738	0.73
11714	11875	0.759	0.739	0.91
9601	4712	0.758	0.743	0.92
3018	4727	0.758	0.750	0.94
13031	13022	0.757	0.744	0.74
328	12717	0.753	0.728	0.93
7381	13654	0.753	0.741	0.80
8898	8993	0.753	0.390	0.57
108	13445	0.752	0.738	0.93
4727	6062	0.752	0.737	0.85
8387	13451	0.751	0.440	0.85
13477	10269	0.751	0.744	0.39
13975	2524	0.750	0.155	0.93
7441	7442	0.750	0.736	0.91
12870	9009	0.749	0.729	0.90
113	13445	0.748	0.740	0.93
110	13445	0.748	0.734	0.93
7866	13178	0.747	0.729	0.68
4785	12009	0.747	0.737	0.92
11548	3031	0.746	0.734	0.92
7754	1529	0.746	0.517	0.78
11508	479	0.746	0.573	0.92
3172	3641	0.746	0.713	0.70
9730	9963	0.745	0.732	0.67
7241	3712	0.745	0.245	0.89
12019	12020	0.745	0.687	0.58
6923	8256	0.744	0.736	0.92
7927	7390	0.744	0.727	0.43
11610	12256	0.744	0.428	0.91
3018	6062	0.743	0.733	0.93
13032	13025	0.743	0.733	0.54
504	12618	0.742	0.148	0.84
112	13445	0.742	0.736	0.93
2630	2554	0.742	0.668	0.52
13460	570	0.742	0.727	0.31
7460	9891	0.742	0.425	0.79
552	6991	0.742	0.733	0.88
13031	13023	0.742	0.714	0.81
11888	9601	0.742	0.727	0.92
12156	13023	0.741	0.706	0.69
12500	10637	0.741	0.734	0.89
4712	6623	0.740	0.718	0.36
11678	8120	0.740	0.712	0.78
5873	13988	0.739	0.723	0.79
13550	11945	0.739	0.689	0.79
11057	11059	0.737	0.643	0.86
8199	7693	0.736	0.288	0.88
12485	12228	0.736	0.719	0.63
12504	10637	0.736	0.733	0.81
8200	12946	0.736	0.257	0.86
11714	11870	0.736	0.724	0.93
13638	10299	0.735	0.722	0.46
7809	7811	0.734	0.623	0.54
9635	12560	0.734	0.685	0.82
12933	8905	0.733	0.534	0.64
13095	2250	0.733	0.290	0.85
9972	9971	0.733	0.715	0.92
113	6170	0.732	0.673	0.92
11888	9600	0.732	0.716	0.36
5923	1339	0.732	0.728	0.87
1658	2740	0.732	0.441	0.85
