i	j	iLIS_best	iLIS_avg	ipTM_best
198	6946	0.748	0.150	0.90
1015	320	0.747	0.370	0.40
8644	6946	0.740	0.425	0.91
1015	11019	0.736	0.380	0.42
7805	1015	0.734	0.285	0.56
11415	9825	0.733	0.147	0.65
1015	6826	0.728	0.703	0.38
8200	1015	0.728	0.322	0.39
1015	12669	0.725	0.325	0.35
1009	6946	0.712	0.695	0.92
6946	375	0.711	0.614	0.92
8003	1015	0.706	0.285	0.39
6946	8011	0.704	0.141	0.92
6946	11383	0.703	0.309	0.89
11273	7049	0.702	0.687	0.85
7474	1015	0.702	0.262	0.42
11273	993	0.702	0.530	0.84
3	445	0.701	0.257	0.92
11273	9890	0.701	0.084	0.84
8665	1015	0.700	0.343	0.39
1014	1015	0.699	0.669	0.92
12633	1015	0.699	0.140	0.41
1011	6946	0.696	0.684	0.91
1015	13786	0.696	0.518	0.41
8651	13133	0.695	0.424	0.87
11624	3421	0.695	0.182	0.58
9	5351	0.695	0.473	0.84
11624	8705	0.694	0.139	0.31
1015	4592	0.693	0.559	0.39
1015	12481	0.690	0.162	0.89
1830	13133	0.689	0.272	0.85
6939	11962	0.688	0.272	0.89
11624	5115	0.687	0.269	0.55
12136	1015	0.687	0.570	0.43
1015	1401	0.687	0.500	0.39
8126	4062	0.685	0.362	0.61
807	1548	0.684	0.267	0.59
555	1015	0.683	0.418	0.37
1015	5236	0.683	0.191	0.39
7282	4277	0.682	0.189	0.76
11319	1015	0.681	0.446	0.40
8319	1015	0.681	0.188	0.40
1015	334	0.681	0.295	0.38
1015	8878	0.681	0.441	0.42
1015	10448	0.681	0.216	0.41
8126	12136	0.679	0.335	0.62
9825	4592	0.679	0.136	0.64
7900	12862	0.679	0.376	0.32
1007	7676	0.677	0.487	0.55
13262	1573	0.677	0.169	0.87
8019	13133	0.677	0.357	0.90
837	13447	0.676	0.228	0.83
6946	7567	0.676	0.135	0.90
6946	8735	0.675	0.267	0.96
11273	8017	0.675	0.124	0.85
7557	891	0.675	0.135	0.69
1015	817	0.675	0.146	0.40
8005	1015	0.674	0.558	0.38
6946	933	0.673	0.447	0.91
11909	10940	0.673	0.252	0.81
10935	1015	0.672	0.512	0.39
9601	13133	0.672	0.650	0.84
13210	1015	0.672	0.552	0.40
11447	13133	0.672	0.461	0.79
13563	1015	0.672	0.349	0.38
11624	8013	0.671	0.067	0.23
8126	9485	0.671	0.265	0.59
9487	13133	0.670	0.156	0.86
6946	12466	0.670	0.308	0.73
12839	6944	0.670	0.632	0.75
9740	892	0.670	0.188	0.45
1573	7670	0.670	0.338	0.86
13160	7659	0.669	0.249	0.47
13021	13035	0.669	0.650	0.47
198	1573	0.669	0.134	0.84
7708	3373	0.668	0.149	0.82
69	1015	0.668	0.490	0.45
6826	1548	0.667	0.250	0.61
918	1015	0.666	0.437	0.40
12862	1894	0.666	0.350	0.33
11181	1015	0.665	0.448	0.40
9958	10297	0.665	0.383	0.42
1009	563	0.665	0.172	0.89
11819	1015	0.664	0.223	0.40
13041	13017	0.664	0.605	0.31
11275	683	0.664	0.148	0.24
11624	807	0.664	0.386	0.59
829	1015	0.663	0.413	0.40
197	8719	0.663	0.336	0.57
9456	1015	0.662	0.242	0.41
10008	1015	0.662	0.256	0.41
13133	12215	0.661	0.483	0.77
8577	10297	0.661	0.149	0.68
10997	351	0.661	0.229	0.53
8644	11909	0.661	0.362	0.85
1018	7278	0.659	0.604	0.86
13217	13881	0.659	0.596	0.58
11624	320	0.659	0.261	0.59
479	4277	0.658	0.515	0.83
8320	12862	0.658	0.132	0.36
9740	11375	0.658	0.437	0.63
1573	802	0.658	0.136	0.87
11624	13482	0.658	0.386	0.59
11624	12203	0.658	0.632	0.60
7754	8188	0.657	0.476	0.49
11273	7536	0.657	0.427	0.77
1009	11613	0.657	0.131	0.30
1014	7086	0.657	0.318	0.83
9795	1016	0.657	0.635	0.80
6826	1573	0.657	0.261	0.83
11909	6826	0.657	0.142	0.85
8188	9246	0.657	0.135	0.33
564	1015	0.657	0.571	0.41
7676	12789	0.656	0.201	0.53
582	6944	0.656	0.337	0.77
12334	13133	0.656	0.253	0.86
11624	11945	0.656	0.436	0.58
12834	9188	0.656	0.131	0.19
7430	13095	0.655	0.459	0.66
8126	6890	0.655	0.612	0.62
8131	8212	0.655	0.207	0.37
12862	8167	0.654	0.131	0.33
11273	839	0.654	0.345	0.85
683	3373	0.654	0.385	0.80
11624	13217	0.654	0.620	0.61
4655	7202	0.653	0.428	0.67
11624	11030	0.653	0.131	0.27
10876	1015	0.653	0.260	0.40
10412	11147	0.653	0.620	0.90
6943	6944	0.653	0.561	0.75
12203	13881	0.653	0.602	0.59
6533	13043	0.653	0.629	0.87
11273	193	0.652	0.326	0.82
13157	8173	0.652	0.328	0.56
817	551	0.652	0.146	0.26
8371	8315	0.652	0.231	0.30
1009	1015	0.652	0.623	0.90
781	3373	0.651	0.371	0.79
11415	7659	0.651	0.263	0.47
8131	11909	0.651	0.243	0.87
8126	8665	0.651	0.130	0.57
11624	555	0.650	0.368	0.67
8126	555	0.650	0.427	0.56
198	1015	0.649	0.462	0.37
930	1015	0.649	0.566	0.46
1573	8410	0.649	0.344	0.88
7735	8920	0.649	0.556	0.66
11624	8164	0.648	0.337	0.60
1018	5236	0.648	0.196	0.76
12539	12153	0.647	0.214	0.64
10957	6826	0.647	0.224	0.82
6890	6156	0.647	0.421	0.88
11188	7805	0.646	0.129	0.57
13103	7554	0.646	0.129	0.81
11909	6579	0.645	0.182	0.78
1015	1293	0.645	0.317	0.39
11909	7670	0.645	0.255	0.87
13133	9586	0.645	0.208	0.87
9740	9723	0.645	0.107	0.47
7554	4277	0.644	0.193	0.76
1573	12132	0.644	0.129	0.30
13881	9079	0.644	0.129	0.44
1015	4156	0.643	0.486	0.41
12862	10462	0.643	0.455	0.64
7735	8702	0.643	0.406	0.55
11624	12517	0.643	0.114	0.55
8165	12820	0.643	0.181	0.45
1015	13447	0.643	0.447	0.87
13643	12153	0.643	0.188	0.62
13632	1959	0.643	0.309	0.60
11061	7566	0.642	0.153	0.84
11273	10645	0.642	0.377	0.81
11624	9259	0.642	0.193	0.49
7805	9376	0.641	0.368	0.58
11624	1420	0.641	0.410	0.59
9783	9683	0.641	0.128	0.29
563	12153	0.641	0.186	0.63
933	12819	0.641	0.266	0.48
12943	9	0.641	0.128	0.78
3002	7975	0.641	0.400	0.44
1015	8073	0.640	0.172	0.38
11909	11476	0.640	0.520	0.83
6940	5559	0.640	0.367	0.82
13989	12153	0.640	0.172	0.60
13210	7659	0.640	0.598	0.49
8200	10958	0.640	0.561	0.81
10778	9	0.640	0.563	0.80
12869	9740	0.640	0.426	0.46
1015	12664	0.640	0.234	0.39
9	8073	0.639	0.356	0.78
9550	7037	0.639	0.128	0.25
11181	3633	0.639	0.249	0.81
781	9564	0.639	0.128	0.69
7277	1010	0.639	0.621	0.67
13346	1015	0.639	0.143	0.72
9079	12153	0.638	0.389	0.63
12136	1573	0.638	0.140	0.88
9272	9958	0.638	0.196	0.30
6939	1894	0.638	0.115	0.41
1015	12480	0.637	0.127	0.83
622	13133	0.637	0.484	0.86
9272	8620	0.637	0.127	0.22
1015	8918	0.637	0.323	0.39
11624	11063	0.637	0.336	0.61
8696	6148	0.636	0.389	0.91
6683	9543	0.636	0.312	0.55
7891	1015	0.636	0.614	0.63
852	8315	0.636	0.235	0.50
1015	1335	0.636	0.437	0.36
13203	351	0.636	0.404	0.45
852	6939	0.636	0.129	0.76
6583	4750	0.636	0.425	0.66
7271	1017	0.635	0.617	0.90
1009	8898	0.635	0.247	0.82
286	1015	0.635	0.549	0.46
10764	1015	0.635	0.281	0.41
11273	10997	0.635	0.238	0.83
11392	5943	0.635	0.468	0.64
9740	13017	0.634	0.079	0.52
11819	12789	0.634	0.466	0.44
13643	1015	0.633	0.341	0.40
197	12824	0.633	0.311	0.53
11275	5539	0.633	0.378	0.54
1015	12254	0.633	0.302	0.40
11888	8367	0.633	0.261	0.56
6946	11819	0.633	0.228	0.89
8011	12153	0.633	0.251	0.64
11624	8185	0.633	0.198	0.56
11726	11747	0.633	0.541	0.84
11624	13203	0.632	0.163	0.60
9206	9714	0.632	0.151	0.71
7658	12153	0.631	0.130	0.63
13133	13262	0.631	0.291	0.86
11624	9079	0.631	0.137	0.60
1015	7595	0.631	0.523	0.53
11749	351	0.631	0.143	0.41
11181	1573	0.631	0.126	0.80
9740	10997	0.630	0.236	0.58
11624	572	0.630	0.604	0.61
9690	11282	0.630	0.126	0.32
8929	70	0.630	0.126	0.41
13133	3878	0.630	0.227	0.85
13133	4596	0.630	0.343	0.86
9572	12900	0.629	0.618	0.82
11265	10172	0.629	0.325	0.35
4062	9544	0.629	0.169	0.82
8073	10931	0.629	0.464	0.64
11273	9563	0.629	0.299	0.80
10958	1715	0.629	0.156	0.80
9599	5189	0.628	0.126	0.70
8003	10281	0.628	0.156	0.57
11286	4712	0.628	0.556	0.40
13133	12132	0.627	0.268	0.88
1015	8410	0.627	0.239	0.41
6216	1894	0.627	0.149	0.71
547	9078	0.627	0.347	0.78
11300	9978	0.627	0.444	0.32
11273	10461	0.627	0.322	0.86
8200	12862	0.626	0.125	0.27
9683	7915	0.626	0.479	0.84
10343	71	0.626	0.320	0.60
13133	1894	0.626	0.477	0.87
7282	7736	0.626	0.125	0.72
9376	7173	0.626	0.337	0.48
8371	9	0.626	0.459	0.83
891	8001	0.626	0.202	0.69
799	12789	0.626	0.241	0.42
7675	8293	0.626	0.162	0.48
8860	13133	0.626	0.439	0.83
