i	j	iLIS_best	iLIS_avg	ipTM_best	ipTM_avg
195	232	0.709	0.694	0.89	0.88
212	232	0.704	0.694	0.89	0.88
54	242	0.702	0.681	0.92	0.91
212	223	0.699	0.684	0.89	0.88
195	223	0.697	0.681	0.89	0.88
4	212	0.683	0.137	0.93	0.36
39	212	0.680	0.136	0.94	0.36
129	195	0.680	0.428	0.89	0.69
129	212	0.676	0.649	0.89	0.87
54	232	0.673	0.661	0.91	0.90
123	198	0.666	0.583	0.62	0.61
52	123	0.658	0.560	0.60	0.60
52	117	0.654	0.624	0.60	0.60
52	189	0.654	0.634	0.61	0.60
23	132	0.650	0.639	0.87	0.86
46	52	0.649	0.628	0.60	0.60
160	206	0.649	0.636	0.80	0.79
32	54	0.648	0.511	0.68	0.62
189	198	0.648	0.566	0.63	0.62
15	132	0.645	0.625	0.87	0.86
52	116	0.645	0.613	0.60	0.60
54	223	0.642	0.626	0.89	0.88
23	137	0.639	0.597	0.50	0.49
117	198	0.635	0.547	0.63	0.62
231	235	0.630	0.585	0.83	0.80
116	198	0.623	0.573	0.64	0.63
222	231	0.621	0.596	0.82	0.81
54	217	0.617	0.479	0.66	0.60
54	129	0.616	0.235	0.78	0.42
54	130	0.615	0.585	0.73	0.72
43	194	0.615	0.186	0.90	0.47
6	54	0.611	0.544	0.60	0.58
15	137	0.607	0.584	0.49	0.47
23	131	0.606	0.552	0.82	0.79
23	78	0.605	0.576	0.52	0.51
54	101	0.604	0.288	0.71	0.43
97	184	0.602	0.302	0.62	0.43
54	132	0.601	0.461	0.80	0.71
230	231	0.596	0.566	0.81	0.78
15	78	0.593	0.564	0.52	0.50
102	176	0.593	0.578	0.80	0.78
139	231	0.593	0.426	0.83	0.82
151	216	0.592	0.559	0.70	0.68
151	214	0.592	0.564	0.71	0.69
30	122	0.590	0.565	0.45	0.44
155	215	0.589	0.224	0.50	0.30
54	194	0.588	0.357	0.81	0.61
30	202	0.586	0.560	0.84	0.83
183	230	0.583	0.494	0.81	0.79
15	112	0.582	0.524	0.26	0.24
23	112	0.581	0.432	0.28	0.23
23	200	0.580	0.567	0.82	0.81
102	251	0.579	0.550	0.81	0.78
183	235	0.578	0.498	0.83	0.79
70	115	0.577	0.351	0.43	0.37
23	242	0.577	0.554	0.86	0.85
54	221	0.576	0.319	0.72	0.48
20	133	0.572	0.451	0.76	0.64
15	232	0.568	0.530	0.87	0.86
15	131	0.568	0.522	0.80	0.77
1	94	0.568	0.520	0.55	0.54
23	232	0.568	0.535	0.86	0.84
46	198	0.567	0.510	0.61	0.60
23	161	0.566	0.218	0.82	0.43
15	157	0.566	0.548	0.80	0.79
23	157	0.566	0.542	0.81	0.79
24	94	0.563	0.507	0.52	0.52
15	200	0.563	0.555	0.82	0.81
139	183	0.562	0.542	0.84	0.82
79	131	0.561	0.399	0.77	0.61
15	43	0.555	0.507	0.26	0.23
54	226	0.554	0.261	0.55	0.39
4	222	0.551	0.285	0.40	0.36
122	194	0.549	0.491	0.86	0.80
15	54	0.547	0.334	0.52	0.46
15	242	0.546	0.521	0.84	0.83
1	66	0.542	0.222	0.54	0.36
53	215	0.541	0.481	0.54	0.51
23	54	0.541	0.325	0.54	0.42
23	223	0.540	0.511	0.86	0.82
55	122	0.540	0.293	0.46	0.39
44	115	0.540	0.108	0.50	0.27
115	143	0.536	0.308	0.57	0.40
15	223	0.536	0.506	0.88	0.85
213	215	0.534	0.487	0.48	0.47
54	200	0.531	0.414	0.76	0.70
