i	j	iLIS_best	iLIS_avg	ipTM_best	src
10	16	0.694	0.685	0.81	1
81	26	0.595	0.587	0.66	1
81	77	0.593	0.577	0.66	1
94	3	0.555	0.475	0.76	1
99	6	0.545	0.109	0.53	1
32	72	0.513	0.103	0.73	1
4	32	0.504	0.101	0.47	1
35	8	0.502	0.475	0.85	1
6	72	0.481	0.260	0.58	1
5	101	0.474	0.283	0.42	1
16	69	0.469	0.187	0.67	1
4	101	0.461	0.207	0.42	1
55	85	0.450	0.413	0.51	1
89	86	0.450	0.286	0.42	1
5	79	0.421	0.182	0.58	1
45	96	0.413	0.186	0.63	1
3	74	0.407	0.334	0.49	1
4	87	0.400	0.253	0.31	1
66	26	0.400	0.135	0.42	1
98	26	0.391	0.136	0.44	1
3	57	0.388	0.277	0.45	1
70	86	0.388	0.171	0.40	1
10	88	0.386	0.334	0.76	1
66	62	0.381	0.104	0.49	1
61	77	0.378	0.142	0.44	1
27	49	0.377	0.150	0.72	1
91	28	0.377	0.142	0.49	1
39	62	0.372	0.247	0.47	1
53	5	0.368	0.236	0.47	1
87	5	0.367	0.201	0.26	1
96	5	0.365	0.208	0.59	1
98	57	0.365	0.200	0.50	1
1	62	0.359	0.241	0.43	1
39	9	0.358	0.241	0.40	1
35	65	0.354	0.200	0.53	1
4	62	0.354	0.137	0.43	1
98	66	0.351	0.073	0.46	1
39	21	0.350	0.185	0.54	1
102	58	0.348	0.222	0.55	1
94	98	0.347	0.303	0.66	1
38	22	0.345	0.226	0.52	1
98	65	0.342	0.089	0.51	1
103	58	0.337	0.243	0.57	1
40	76	0.336	0.067	0.53	1
4	79	0.333	0.195	0.55	1
93	66	0.331	0.211	0.43	1
55	25	0.330	0.252	0.62	1
17	52	0.329	0.082	0.55	1
98	1	0.328	0.226	0.39	1
103	62	0.328	0.186	0.37	1
33	89	0.326	0.092	0.45	1
65	60	0.326	0.283	0.44	1
58	78	0.326	0.210	0.45	1
26	62	0.325	0.102	0.46	1
104	58	0.324	0.067	0.51	1
33	62	0.324	0.134	0.48	1
53	1	0.322	0.189	0.45	1
35	100	0.321	0.118	0.46	1
38	62	0.319	0.221	0.46	1
39	45	0.319	0.191	0.39	1
18	52	0.318	0.072	0.58	1
65	26	0.318	0.116	0.44	1
82	5	0.315	0.063	0.51	1
0	5	0.315	0.063	0.37	1
53	101	0.312	0.251	0.36	1
38	66	0.312	0.153	0.47	1
61	22	0.310	0.247	0.48	1
98	36	0.310	0.278	0.58	1
85	13	0.309	0.237	0.53	1
29	78	0.308	0.222	0.44	1
39	53	0.307	0.248	0.46	1
55	58	0.307	0.227	0.48	1
86	96	0.306	0.199	0.59	1
4	104	0.304	0.120	0.48	1
102	101	0.302	0.181	0.56	1
55	83	0.301	0.244	0.51	1
66	79	0.299	0.083	0.40	1
39	29	0.295	0.225	0.47	1
27	34	0.294	0.232	0.51	1
38	53	0.293	0.225	0.45	1
42	101	0.290	0.239	0.36	1
43	50	0.290	0.219	0.47	1
31	4	0.289	0.083	0.54	1
98	60	0.288	0.114	0.42	1
65	62	0.288	0.145	0.40	1
53	28	0.287	0.114	0.38	1
45	62	0.285	0.196	0.37	1
43	62	0.284	0.184	0.41	1
74	58	0.283	0.209	0.46	1
70	101	0.283	0.057	0.32	1
98	35	0.282	0.071	0.40	1
21	61	0.282	0.239	0.46	1
38	101	0.281	0.205	0.39	1
77	62	0.281	0.070	0.33	1
38	93	0.280	0.072	0.31	1
74	38	0.278	0.074	0.45	1
31	44	0.277	0.214	0.57	1
60	66	0.276	0.125	0.42	1
53	45	0.275	0.130	0.38	1
38	49	0.274	0.110	0.62	1
38	65	0.274	0.055	0.50	1
39	49	0.272	0.121	0.61	1
55	46	0.270	0.233	0.53	1
39	60	0.269	0.149	0.39	1
46	45	0.268	0.185	0.62	1
18	34	0.266	0.053	0.45	1
46	90	0.266	0.173	0.59	1
50	96	0.266	0.058	0.57	1
44	96	0.265	0.115	0.59	1
73	7	0.264	0.053	0.65	1
12	66	0.264	0.088	0.61	1
49	29	0.263	0.092	0.55	1
63	60	0.262	0.099	0.48	1
0	52	0.261	0.060	0.33	1
102	80	0.260	0.181	0.45	1
86	79	0.260	0.189	0.53	1
94	7	0.260	0.052	0.54	1
21	60	0.259	0.165	0.35	1
74	66	0.257	0.149	0.47	1
66	28	0.257	0.112	0.43	1
99	79	0.257	0.160	0.51	1
60	101	0.257	0.119	0.39	1
103	101	0.256	0.137	0.52	1
55	73	0.254	0.085	0.47	1
15	79	0.254	0.070	0.44	1
4	36	0.254	0.091	0.51	1
3	61	0.253	0.229	0.47	1
94	45	0.253	0.106	0.55	1
3	44	0.253	0.200	0.46	1
43	60	0.250	0.180	0.44	1
53	43	0.250	0.090	0.41	1
21	86	0.249	0.226	0.48	1
77	104	0.249	0.094	0.42	1
74	52	0.248	0.106	0.43	1
22	86	0.247	0.149	0.49	1
49	1	0.247	0.049	0.56	1
90	101	0.247	0.066	0.47	1
65	28	0.247	0.143	0.46	1
81	42	0.247	0.146	0.42	1
39	43	0.246	0.221	0.49	1
25	45	0.246	0.103	0.59	1
94	42	0.246	0.150	0.59	1
43	64	0.245	0.100	0.34	1
5	62	0.245	0.175	0.36	1
39	79	0.244	0.142	0.55	1
103	80	0.243	0.141	0.46	1
52	96	0.243	0.076	0.56	1
42	80	0.243	0.064	0.43	1
43	66	0.242	0.089	0.46	1
37	75	0.241	0.087	0.51	1
65	43	0.241	0.099	0.48	1
74	42	0.240	0.175	0.46	1
8	93	0.239	0.121	0.58	1
42	61	0.238	0.167	0.52	1
74	39	0.238	0.128	0.47	1
99	62	0.238	0.128	0.36	1
61	1	0.237	0.047	0.45	1
74	53	0.237	0.103	0.37	1
94	5	0.236	0.075	0.56	1
62	79	0.234	0.047	0.40	1
98	86	0.234	0.129	0.42	1
60	79	0.233	0.115	0.48	1
63	1	0.233	0.089	0.46	1
65	1	0.233	0.121	0.42	1
11	5	0.233	0.083	0.37	1
80	101	0.232	0.127	0.34	1
59	28	0.232	0.046	0.58	1
102	61	0.231	0.093	0.52	1
11	101	0.230	0.053	0.45	1
96	26	0.230	0.064	0.44	1
21	4	0.229	0.128	0.40	1
98	53	0.229	0.096	0.38	1
11	4	0.228	0.116	0.41	1
53	50	0.228	0.154	0.38	1
89	28	0.228	0.182	0.26	1
100	45	0.228	0.121	0.51	1
83	72	0.227	0.104	0.58	1
31	62	0.227	0.061	0.31	1
26	79	0.226	0.069	0.42	1
46	5	0.226	0.168	0.50	1
98	79	0.225	0.106	0.45	1
103	61	0.225	0.057	0.52	1
38	45	0.224	0.121	0.34	1
58	62	0.224	0.100	0.38	1
