i	j	iLIS_best	iLIS_avg	ipTM_best
8580	8581	0.826	0.825	0.95
8580	8586	0.819	0.815	0.95
8580	8590	0.818	0.816	0.95
7548	5853	0.818	0.718	0.91
8590	8581	0.818	0.815	0.95
8580	8589	0.817	0.815	0.96
8580	8585	0.817	0.812	0.95
8589	8581	0.815	0.813	0.95
8580	8583	0.815	0.812	0.95
8585	8581	0.815	0.811	0.95
8603	8602	0.813	0.807	0.95
8601	8600	0.813	0.806	0.95
8583	8581	0.811	0.809	0.95
8602	8600	0.811	0.802	0.95
8603	8600	0.810	0.807	0.95
7548	2475	0.809	0.797	0.91
8602	8601	0.807	0.799	0.95
12818	12812	0.806	0.796	0.93
8585	8586	0.805	0.802	0.95
8586	8590	0.805	0.803	0.95
8583	8586	0.805	0.801	0.95
8583	8590	0.804	0.801	0.95
8585	8590	0.804	0.800	0.95
8580	8588	0.803	0.800	0.95
8583	8589	0.802	0.800	0.95
8583	8585	0.802	0.797	0.95
10463	10462	0.802	0.800	0.71
8588	8581	0.801	0.799	0.95
11151	681	0.801	0.525	0.67
8586	8588	0.794	0.788	0.95
8301	8354	0.794	0.789	0.93
8588	8590	0.793	0.789	0.95
8585	8588	0.791	0.787	0.95
12559	12551	0.790	0.778	0.59
8583	8588	0.790	0.786	0.94
13836	7995	0.789	0.783	0.95
8588	8589	0.789	0.786	0.95
13367	1247	0.786	0.775	0.95
13152	13153	0.783	0.779	0.94
12559	12618	0.781	0.749	0.87
6907	6906	0.778	0.770	0.78
12532	13354	0.776	0.766	0.77
12601	13532	0.776	0.767	0.80
11725	3286	0.776	0.760	0.95
8693	13367	0.776	0.769	0.94
11565	11566	0.775	0.551	0.82
2746	2208	0.772	0.757	0.76
11725	3288	0.772	0.760	0.95
13152	13154	0.770	0.758	0.94
11962	11961	0.770	0.752	0.94
8156	8157	0.768	0.765	0.92
3320	1145	0.768	0.742	0.90
12947	529	0.767	0.753	0.81
1145	9634	0.765	0.753	0.92
11372	11371	0.765	0.757	0.77
7760	12397	0.764	0.738	0.87
6111	9635	0.763	0.726	0.89
3131	12618	0.762	0.636	0.87
11937	3702	0.761	0.742	0.84
10371	617	0.761	0.713	0.77
1145	12618	0.759	0.722	0.88
13581	13580	0.757	0.739	0.91
8569	4328	0.757	0.604	0.86
13024	13027	0.756	0.751	0.76
