i	j	iLIS_best	iLIS_avg	ipTM_best
1009	6946	0.712	0.695	0.92
1014	1015	0.699	0.669	0.92
1011	6946	0.696	0.684	0.91
6946	8735	0.675	0.267	0.96
12839	6944	0.670	0.632	0.75
10008	1015	0.662	0.256	0.41
1018	7278	0.659	0.604	0.86
13217	13881	0.659	0.596	0.58
11624	12203	0.658	0.632	0.60
11624	13217	0.654	0.620	0.61
6943	6944	0.653	0.561	0.75
12203	13881	0.653	0.602	0.59
1009	1015	0.652	0.623	0.90
1015	13447	0.643	0.447	0.87
7891	1015	0.636	0.614	0.63
11624	572	0.630	0.604	0.61
9572	12900	0.629	0.618	0.82
13133	1523	0.624	0.125	0.86
12399	6946	0.618	0.573	0.92
1011	1015	0.618	0.586	0.88
572	13881	0.615	0.577	0.55
11726	9390	0.610	0.573	0.47
1015	8577	0.607	0.359	0.66
1015	8315	0.606	0.121	0.49
7278	1010	0.604	0.562	0.44
8173	12802	0.603	0.423	0.36
7736	1015	0.596	0.426	0.48
5943	7202	0.594	0.234	0.64
11624	289	0.593	0.119	0.18
289	204	0.593	0.566	0.70
11909	9571	0.590	0.567	0.83
1548	13903	0.589	0.346	0.66
6946	1016	0.589	0.487	0.84
7706	9390	0.586	0.564	0.83
12461	1573	0.584	0.134	0.88
6939	12077	0.583	0.395	0.82
7278	1016	0.582	0.514	0.84
1015	13934	0.579	0.117	0.60
1015	11591	0.577	0.302	0.36
7202	12803	0.574	0.543	0.72
7202	12802	0.572	0.537	0.43
9572	7975	0.570	0.139	0.56
7278	1015	0.568	0.387	0.41
10320	1015	0.568	0.114	0.45
11624	10997	0.567	0.139	0.37
8126	1015	0.564	0.367	0.57
6946	1003	0.563	0.113	0.88
11909	9714	0.561	0.530	0.79
11726	13448	0.561	0.368	0.72
11273	9564	0.561	0.166	0.83
551	10982	0.560	0.112	0.21
9564	8577	0.559	0.155	0.67
6847	11009	0.557	0.193	0.84
12862	12615	0.557	0.176	0.46
13881	551	0.555	0.147	0.45
7735	3075	0.554	0.285	0.58
10605	9377	0.553	0.216	0.54
6847	7659	0.553	0.260	0.80
3373	13042	0.553	0.111	0.79
1014	7278	0.553	0.520	0.88
40	7430	0.550	0.282	0.68
1015	13337	0.550	0.516	0.62
13514	9552	0.550	0.492	0.53
996	7278	0.550	0.517	0.80
11277	1523	0.549	0.452	0.87
3308	721	0.549	0.528	0.55
11726	9376	0.548	0.487	0.50
996	1010	0.548	0.219	0.80
11726	11300	0.545	0.305	0.63
11726	13447	0.545	0.438	0.83
9390	13447	0.542	0.474	0.83
1013	1016	0.542	0.505	0.79
8188	7975	0.541	0.364	0.47
11726	12461	0.541	0.433	0.36
13881	8735	0.541	0.302	0.38
10957	10931	0.541	0.366	0.82
11909	12154	0.540	0.512	0.81
11300	8990	0.540	0.264	0.74
13337	10281	0.539	0.122	0.61
1018	1016	0.539	0.324	0.75
12862	7202	0.538	0.108	0.40
11265	7278	0.538	0.514	0.45
10412	12543	0.538	0.418	0.32
1009	70	0.538	0.294	0.86
8126	7603	0.537	0.407	0.64
13217	7591	0.537	0.222	0.61
12820	6683	0.536	0.112	0.55
225	4277	0.536	0.502	0.85
1011	7278	0.536	0.505	0.87
12423	12543	0.535	0.468	0.46
12203	70	0.534	0.107	0.55
12399	9740	0.534	0.352	0.50
7278	10931	0.534	0.301	0.63
13448	13133	0.533	0.286	0.76
13183	11265	0.532	0.307	0.43
6943	12839	0.530	0.509	0.74
1015	12077	0.530	0.132	0.38
11726	9377	0.529	0.454	0.55
10930	13133	0.529	0.455	0.88
9564	351	0.528	0.480	0.43
919	13062	0.527	0.213	0.51
9931	12862	0.526	0.182	0.66
7589	7659	0.525	0.129	0.51
11726	12462	0.524	0.441	0.37
5755	13514	0.523	0.465	0.49
8735	8990	0.523	0.214	0.47
8162	13062	0.522	0.275	0.46
1043	13447	0.522	0.378	0.77
13062	351	0.522	0.207	0.53
6946	1015	0.522	0.214	0.80
10008	4277	0.521	0.314	0.81
11272	13133	0.521	0.189	0.79
13337	13043	0.520	0.494	0.84
8090	13447	0.520	0.233	0.79
1014	12549	0.520	0.112	0.86
7735	5943	0.519	0.110	0.64
6216	6683	0.519	0.422	0.63
13886	351	0.516	0.404	0.45
11273	11277	0.516	0.475	0.84
11726	7706	0.515	0.492	0.79
6557	10997	0.515	0.162	0.68
9377	9564	0.515	0.292	0.54
10531	1015	0.515	0.396	0.72
1013	7278	0.514	0.461	0.81
13448	1548	0.513	0.111	0.71
10958	12154	0.513	0.437	0.84
11909	1015	0.512	0.390	0.77
11272	9825	0.511	0.392	0.79
11265	12462	0.511	0.318	0.45
7964	7659	0.510	0.340	0.49
10531	7659	0.509	0.365	0.73
13886	13043	0.509	0.201	0.87
1015	10989	0.508	0.102	0.43
10531	8173	0.508	0.211	0.71
7675	12077	0.508	0.119	0.46
572	13133	0.507	0.394	0.75
1015	9	0.507	0.316	0.71
11624	7278	0.506	0.101	0.58
6939	3075	0.505	0.123	0.78
10320	13934	0.505	0.364	0.54
6683	12615	0.505	0.178	0.55
858	12820	0.504	0.469	0.43
6683	8469	0.504	0.419	0.72
6216	13886	0.503	0.261	0.71
1015	445	0.502	0.280	0.43
12077	9042	0.502	0.335	0.78
551	7202	0.501	0.366	0.38
8696	7591	0.501	0.226	0.33
11275	11277	0.501	0.440	0.69
7891	7278	0.501	0.458	0.64
11274	11277	0.500	0.398	0.84
7891	10982	0.500	0.403	0.50
9377	10981	0.500	0.356	0.55
4868	204	0.500	0.431	0.39
7278	9683	0.499	0.110	0.58
13133	7202	0.498	0.371	0.82
9390	9931	0.498	0.452	0.71
4277	8990	0.498	0.117	0.74
