i	j	iLIS_best	iLIS_avg	ipTM_best	src
21	24	0.693	0.684	0.92	1
16	24	0.678	0.649	0.88	1
24	116	0.671	0.652	0.53	1
149	24	0.644	0.323	0.69	1
19	24	0.618	0.605	0.62	1
172	86	0.605	0.463	0.74	1
110	86	0.603	0.484	0.79	1
3	4	0.594	0.575	0.71	1
80	95	0.577	0.335	0.84	1
80	86	0.568	0.509	0.46	1
101	150	0.566	0.549	0.72	1
34	161	0.563	0.524	0.78	1
34	162	0.559	0.528	0.71	1
24	96	0.558	0.329	0.49	1
174	24	0.557	0.329	0.49	1
80	136	0.556	0.246	0.70	1
47	46	0.554	0.526	0.80	1
89	110	0.552	0.521	0.80	1
5	76	0.549	0.507	0.62	1
36	38	0.544	0.328	0.52	1
86	77	0.539	0.444	0.46	1
11	169	0.539	0.108	0.76	1
86	136	0.538	0.429	0.72	1
129	150	0.537	0.477	0.80	1
52	169	0.535	0.402	0.42	1
89	172	0.535	0.181	0.74	1
133	139	0.532	0.106	0.83	1
24	93	0.532	0.491	0.51	1
24	23	0.528	0.446	0.67	1
86	95	0.527	0.504	0.83	1
101	24	0.522	0.323	0.68	1
79	68	0.522	0.398	0.37	1
68	153	0.521	0.308	0.57	1
21	115	0.520	0.433	0.78	1
17	24	0.516	0.243	0.48	1
156	129	0.515	0.482	0.80	1
36	159	0.511	0.440	0.52	1
100	184	0.510	0.426	0.65	1
38	111	0.508	0.286	0.54	1
86	153	0.504	0.368	0.45	1
68	182	0.503	0.441	0.60	1
86	27	0.502	0.447	0.53	1
98	114	0.499	0.263	0.40	1
46	41	0.496	0.110	0.79	1
130	114	0.496	0.388	0.60	1
121	86	0.495	0.435	0.63	1
174	138	0.491	0.165	0.65	1
66	93	0.491	0.279	0.49	1
47	18	0.484	0.290	0.51	1
156	87	0.478	0.386	0.54	1
5	40	0.477	0.095	0.51	1
76	138	0.476	0.280	0.64	1
156	141	0.473	0.425	0.77	1
58	41	0.471	0.110	0.45	1
86	114	0.471	0.377	0.37	1
80	126	0.471	0.275	0.40	1
91	116	0.471	0.414	0.46	1
96	141	0.471	0.407	0.59	1
97	100	0.470	0.234	0.71	1
94	141	0.469	0.274	0.77	1
80	172	0.467	0.378	0.69	1
80	19	0.466	0.181	0.54	1
67	138	0.466	0.215	0.72	1
84	158	0.464	0.261	0.54	1
141	182	0.464	0.325	0.62	1
52	172	0.462	0.277	0.66	1
126	114	0.460	0.366	0.50	1
36	71	0.460	0.092	0.67	1
129	97	0.460	0.393	0.76	1
111	98	0.460	0.278	0.58	1
186	114	0.457	0.209	0.43	1
38	93	0.455	0.097	0.48	1
89	87	0.455	0.269	0.54	1
38	159	0.455	0.279	0.52	1
79	84	0.454	0.200	0.59	1
43	136	0.453	0.337	0.67	1
130	137	0.453	0.382	0.72	1
49	73	0.453	0.402	0.73	1
18	24	0.450	0.362	0.47	1
80	77	0.450	0.301	0.41	1
30	87	0.449	0.245	0.52	1
92	66	0.448	0.106	0.45	1
80	186	0.447	0.303	0.41	1
106	80	0.446	0.160	0.57	1
84	67	0.445	0.224	0.56	1
157	167	0.445	0.358	0.68	1
111	116	0.445	0.408	0.50	1
73	86	0.445	0.322	0.78	1
163	73	0.445	0.089	0.75	1
141	118	0.445	0.417	0.66	1
84	130	0.444	0.308	0.49	1
98	141	0.444	0.211	0.51	1
