i	j	iLIS_best	iLIS_avg	ipTM_best	ipTM_avg
14	17	0.694	0.685	0.81	0.81
101	101	0.626	0.599	0.49	0.48
26	85	0.595	0.587	0.66	0.64
81	85	0.593	0.577	0.66	0.64
38	39	0.555	0.475	0.76	0.72
7	40	0.545	0.109	0.53	0.28
32	77	0.513	0.103	0.73	0.28
5	32	0.504	0.101	0.47	0.21
10	35	0.502	0.475	0.85	0.83
7	77	0.481	0.260	0.58	0.41
6	101	0.474	0.283	0.42	0.34
17	74	0.469	0.187	0.67	0.38
5	101	0.461	0.207	0.42	0.29
61	89	0.450	0.413	0.51	0.49
90	93	0.450	0.286	0.42	0.36
6	83	0.421	0.182	0.58	0.40
51	98	0.413	0.186	0.63	0.46
39	79	0.407	0.334	0.49	0.46
5	91	0.400	0.253	0.31	0.25
26	71	0.400	0.135	0.42	0.30
26	100	0.391	0.136	0.44	0.30
39	50	0.388	0.277	0.45	0.42
75	90	0.388	0.171	0.40	0.33
14	92	0.386	0.334	0.76	0.72
67	71	0.381	0.104	0.49	0.32
66	81	0.378	0.142	0.44	0.29
27	55	0.377	0.150	0.72	0.43
3	28	0.377	0.142	0.49	0.37
45	67	0.372	0.247	0.47	0.42
6	59	0.368	0.236	0.47	0.35
6	91	0.367	0.201	0.26	0.23
6	98	0.365	0.208	0.59	0.46
50	100	0.365	0.200	0.50	0.39
1	67	0.359	0.241	0.43	0.37
11	45	0.358	0.241	0.40	0.37
35	70	0.354	0.200	0.53	0.40
5	67	0.354	0.137	0.43	0.30
71	100	0.351	0.073	0.46	0.28
22	45	0.350	0.185	0.54	0.39
64	102	0.348	0.222	0.55	0.50
38	100	0.347	0.303	0.66	0.62
21	43	0.345	0.226	0.52	0.44
70	100	0.342	0.089	0.51	0.32
64	103	0.337	0.243	0.57	0.52
9	44	0.336	0.067	0.53	0.35
5	83	0.333	0.195	0.55	0.41
71	96	0.331	0.211	0.43	0.32
25	61	0.330	0.252	0.62	0.56
41	58	0.329	0.082	0.55	0.37
1	100	0.328	0.226	0.39	0.36
67	103	0.328	0.186	0.37	0.33
33	93	0.326	0.092	0.45	0.33
65	70	0.326	0.283	0.44	0.40
64	82	0.326	0.210	0.45	0.40
26	67	0.325	0.102	0.46	0.28
64	104	0.324	0.067	0.51	0.30
33	67	0.324	0.134	0.48	0.37
1	59	0.322	0.189	0.45	0.35
35	53	0.321	0.118	0.46	0.31
43	67	0.319	0.221	0.46	0.41
45	51	0.319	0.191	0.39	0.33
42	58	0.318	0.072	0.58	0.32
26	70	0.318	0.116	0.44	0.28
6	86	0.315	0.063	0.51	0.25
0	6	0.315	0.063	0.37	0.21
59	101	0.312	0.251	0.36	0.34
43	71	0.312	0.153	0.47	0.35
21	66	0.310	0.247	0.48	0.44
36	100	0.310	0.278	0.58	0.57
15	89	0.309	0.237	0.53	0.49
29	82	0.308	0.222	0.44	0.40
45	59	0.307	0.248	0.46	0.41
61	64	0.307	0.227	0.48	0.42
90	98	0.306	0.199	0.59	0.50
5	104	0.304	0.120	0.48	0.33
101	102	0.302	0.181	0.56	0.43
61	87	0.301	0.244	0.51	0.47
71	83	0.299	0.083	0.40	0.30
29	45	0.295	0.225	0.47	0.44
27	34	0.294	0.232	0.51	0.48
43	59	0.293	0.225	0.45	0.41
47	101	0.290	0.239	0.36	0.35
48	56	0.290	0.219	0.47	0.42
5	31	0.289	0.083	0.54	0.34
65	100	0.288	0.114	0.42	0.34
67	70	0.288	0.145	0.40	0.33
28	59	0.287	0.114	0.38	0.33
51	67	0.285	0.196	0.37	0.35
48	67	0.284	0.184	0.41	0.36
64	79	0.283	0.209	0.46	0.41
75	101	0.283	0.057	0.32	0.26
35	100	0.282	0.071	0.40	0.28
22	66	0.282	0.239	0.46	0.43
43	101	0.281	0.205	0.39	0.36
67	81	0.281	0.070	0.33	0.22
43	96	0.280	0.072	0.31	0.25
43	79	0.278	0.074	0.45	0.30
31	49	0.277	0.214	0.57	0.51
65	71	0.276	0.125	0.42	0.33
51	59	0.275	0.130	0.38	0.33
43	55	0.274	0.110	0.62	0.44
43	70	0.274	0.055	0.50	0.27
45	55	0.272	0.121	0.61	0.47
52	61	0.270	0.233	0.53	0.50
45	65	0.269	0.149	0.39	0.33
51	52	0.268	0.185	0.62	0.55
34	42	0.266	0.053	0.45	0.26
52	94	0.266	0.173	0.59	0.51
56	98	0.266	0.058	0.57	0.34
49	98	0.265	0.115	0.59	0.37
8	78	0.264	0.053	0.65	0.34
13	71	0.264	0.088	0.61	0.41
29	55	0.263	0.092	0.55	0.40
65	68	0.262	0.099	0.48	0.39
0	58	0.261	0.060	0.33	0.26
84	102	0.260	0.181	0.45	0.41
83	90	0.260	0.189	0.53	0.48
8	38	0.260	0.052	0.54	0.21
22	65	0.259	0.165	0.35	0.30
71	79	0.257	0.149	0.47	0.39
28	71	0.257	0.112	0.43	0.31
40	83	0.257	0.160	0.51	0.46
65	101	0.257	0.119	0.39	0.32
101	103	0.256	0.137	0.52	0.36
61	78	0.254	0.085	0.47	0.37
19	83	0.254	0.070	0.44	0.28
5	36	0.254	0.091	0.51	0.33
39	66	0.253	0.229	0.47	0.42
38	51	0.253	0.106	0.55	0.50
39	49	0.253	0.200	0.46	0.38
48	65	0.250	0.180	0.44	0.36
48	59	0.250	0.090	0.41	0.31
59	59	0.249	0.108	0.44	0.35
22	90	0.249	0.226	0.48	0.46
81	104	0.249	0.094	0.42	0.31
58	79	0.248	0.106	0.43	0.34
21	90	0.247	0.149	0.49	0.40
1	55	0.247	0.049	0.56	0.29
94	101	0.247	0.066	0.47	0.30
28	70	0.247	0.143	0.46	0.34
47	85	0.247	0.146	0.42	0.37
45	48	0.246	0.221	0.49	0.46
