i	j	iLIS_best	iLIS_avg	ipTM_best	ipTM_avg
20	25	0.693	0.684	0.92	0.91
20	23	0.678	0.649	0.88	0.87
20	22	0.671	0.652	0.53	0.52
8	20	0.644	0.323	0.69	0.46
20	58	0.618	0.605	0.62	0.60
76	112	0.605	0.463	0.74	0.65
76	113	0.603	0.484	0.79	0.72
9	148	0.594	0.575	0.71	0.70
80	90	0.577	0.335	0.84	0.62
76	80	0.568	0.509	0.46	0.46
77	97	0.566	0.549	0.72	0.71
32	170	0.563	0.524	0.78	0.73
32	171	0.559	0.528	0.71	0.68
20	92	0.558	0.329	0.49	0.38
20	136	0.557	0.329	0.49	0.38
80	137	0.556	0.246	0.70	0.55
42	110	0.554	0.526	0.80	0.77
85	113	0.552	0.521	0.80	0.78
10	69	0.549	0.507	0.62	0.62
34	35	0.544	0.328	0.52	0.46
70	76	0.539	0.444	0.46	0.44
15	172	0.539	0.108	0.76	0.34
76	137	0.538	0.429	0.72	0.68
77	125	0.537	0.477	0.80	0.77
48	172	0.535	0.402	0.42	0.40
85	112	0.535	0.181	0.74	0.43
128	145	0.532	0.106	0.83	0.30
20	88	0.532	0.491	0.51	0.49
20	27	0.528	0.446	0.67	0.62
76	90	0.527	0.504	0.83	0.82
20	97	0.522	0.323	0.68	0.54
1	47	0.522	0.398	0.37	0.31
47	162	0.521	0.308	0.57	0.45
25	60	0.520	0.433	0.78	0.69
19	20	0.516	0.243	0.48	0.39
125	165	0.515	0.482	0.80	0.77
34	168	0.511	0.440	0.52	0.50
96	185	0.510	0.426	0.65	0.60
35	121	0.508	0.286	0.54	0.45
76	162	0.504	0.368	0.45	0.41
47	184	0.503	0.441	0.60	0.58
29	76	0.502	0.447	0.53	0.53
116	138	0.499	0.263	0.40	0.33
39	110	0.496	0.110	0.79	0.35
116	127	0.496	0.388	0.60	0.55
76	119	0.495	0.435	0.63	0.61
136	142	0.491	0.165	0.65	0.35
83	88	0.491	0.279	0.49	0.38
21	42	0.484	0.290	0.51	0.44
100	165	0.478	0.386	0.54	0.51
10	38	0.477	0.095	0.51	0.27
69	142	0.476	0.280	0.64	0.45
149	165	0.473	0.425	0.77	0.75
39	105	0.471	0.110	0.45	0.30
76	116	0.471	0.377	0.37	0.35
49	80	0.471	0.275	0.40	0.36
22	86	0.471	0.414	0.46	0.44
92	149	0.471	0.407	0.59	0.55
94	96	0.470	0.234	0.71	0.54
89	149	0.469	0.274	0.77	0.58
80	112	0.467	0.378	0.69	0.64
58	80	0.466	0.181	0.54	0.37
59	142	0.466	0.215	0.72	0.43
161	167	0.464	0.261	0.54	0.41
149	184	0.464	0.325	0.62	0.56
48	112	0.462	0.277	0.66	0.56
49	116	0.460	0.366	0.50	0.43
34	64	0.460	0.092	0.67	0.28
94	125	0.460	0.393	0.76	0.74
121	138	0.460	0.278	0.58	0.47
37	116	0.457	0.209	0.43	0.35
35	88	0.455	0.097	0.48	0.28
85	100	0.455	0.269	0.54	0.43
35	168	0.455	0.279	0.52	0.48
1	161	0.454	0.200	0.59	0.42
41	137	0.453	0.337	0.67	0.58
127	140	0.453	0.382	0.72	0.68
46	65	0.453	0.402	0.73	0.71
20	21	0.450	0.362	0.47	0.44
70	80	0.450	0.301	0.41	0.39
72	100	0.449	0.245	0.52	0.40
83	87	0.448	0.106	0.45	0.31
37	80	0.447	0.303	0.41	0.36
80	99	0.446	0.160	0.57	0.32
59	161	0.445	0.224	0.56	0.41
146	166	0.445	0.358	0.68	0.59
22	121	0.445	0.408	0.50	0.49
65	76	0.445	0.322	0.78	0.67
65	111	0.445	0.089	0.75	0.33
118	149	0.445	0.417	0.66	0.64
127	161	0.444	0.308	0.49	0.42
138	149	0.444	0.211	0.51	0.42
24	60	0.443	0.394	0.58	0.53
4	93	0.440	0.216	0.69	0.44
90	149	0.440	0.407	0.75	0.73
22	42	0.438	0.132	0.47	0.30
41	90	0.435	0.396	0.81	0.77
76	94	0.435	0.362	0.76	0.71
80	185	0.434	0.266	0.58	0.49
48	88	0.434	0.175	0.50	0.33
80	113	0.433	0.388	0.71	0.70
95	165	0.433	0.315	0.78	0.67
3	91	0.432	0.086	0.51	0.32
97	165	0.432	0.299	0.63	0.60
40	179	0.432	0.206	0.36	0.31
41	94	0.431	0.383	0.77	0.74
76	165	0.430	0.385	0.78	0.75
51	149	0.429	0.357	0.53	0.50
34	100	0.428	0.086	0.50	0.25
34	143	0.428	0.086	0.68	0.28
7	134	0.427	0.227	0.59	0.43
140	158	0.427	0.387	0.74	0.71
21	60	0.427	0.361	0.66	0.58
42	88	0.427	0.215	0.51	0.39
64	89	0.426	0.266	0.76	0.62
21	109	0.425	0.124	0.59	0.37
66	96	0.424	0.199	0.66	0.53
38	100	0.424	0.180	0.51	0.36
20	100	0.423	0.192	0.51	0.33
80	116	0.423	0.269	0.48	0.37
44	158	0.423	0.370	0.56	0.53
99	172	0.421	0.084	0.55	0.24
23	126	0.420	0.385	0.78	0.76
89	97	0.420	0.348	0.69	0.65
88	95	0.420	0.346	0.41	0.34
134	184	0.420	0.213	0.74	0.57
20	166	0.420	0.084	0.48	0.28
122	172	0.419	0.084	0.53	0.24
18	140	0.419	0.084	0.79	0.34
122	138	0.418	0.084	0.58	0.36
41	47	0.418	0.184	0.26	0.23
41	149	0.417	0.295	0.58	0.50
9	76	0.416	0.288	0.46	0.41
100	136	0.416	0.223	0.54	0.40
116	183	0.414	0.297	0.45	0.40
77	100	0.412	0.162	0.52	0.34
85	99	0.411	0.082	0.54	0.26
36	180	0.409	0.082	0.46	0.30
171	172	0.409	0.257	0.68	0.54
15	113	0.407	0.090	0.67	0.27
26	183	0.407	0.341	0.56	0.52
76	100	0.407	0.172	0.52	0.36
23	74	0.407	0.169	0.79	0.52
10	95	0.405	0.275	0.35	0.30
137	182	0.405	0.213	0.60	0.47
1	12	0.404	0.244	0.60	0.52
76	89	0.403	0.382	0.75	0.73
19	80	0.403	0.316	0.39	0.36
80	119	0.403	0.320	0.59	0.55
98	159	0.403	0.380	0.51	0.48
23	60	0.401	0.380	0.70	0.66
80	162	0.400	0.170	0.42	0.35
37	154	0.399	0.227	0.39	0.32
28	110	0.399	0.322	0.67	0.61
