i	j	iLIS_best	iLIS_avg	ipTM_best	ipTM_avg
37	48	0.704	0.690	0.89	0.89
29	38	0.703	0.678	0.91	0.90
35	48	0.703	0.691	0.89	0.88
48	81	0.676	0.494	0.88	0.73
48	80	0.665	0.503	0.89	0.74
200	208	0.664	0.658	0.77	0.76
29	37	0.663	0.649	0.90	0.89
25	42	0.658	0.639	0.87	0.86
5	18	0.658	0.614	0.63	0.62
17	19	0.654	0.612	0.62	0.61
18	19	0.652	0.596	0.65	0.64
29	35	0.649	0.636	0.89	0.88
18	215	0.649	0.589	0.63	0.62
25	32	0.647	0.608	0.50	0.47
17	215	0.643	0.609	0.62	0.61
5	17	0.643	0.616	0.61	0.61
29	33	0.642	0.605	0.68	0.67
26	42	0.641	0.629	0.87	0.86
29	80	0.636	0.611	0.68	0.67
29	81	0.634	0.476	0.79	0.65
29	223	0.634	0.543	0.69	0.65
20	115	0.628	0.585	0.46	0.45
132	137	0.628	0.596	0.85	0.83
21	225	0.620	0.179	0.70	0.38
29	98	0.615	0.298	0.75	0.56
25	27	0.613	0.572	0.49	0.48
26	32	0.610	0.574	0.48	0.47
25	37	0.607	0.577	0.90	0.88
25	28	0.605	0.577	0.49	0.48
29	42	0.604	0.542	0.81	0.77
1	2	0.604	0.577	0.71	0.70
26	27	0.602	0.547	0.49	0.48
53	77	0.601	0.586	0.81	0.78
22	80	0.599	0.356	0.68	0.57
26	28	0.599	0.538	0.50	0.48
173	223	0.597	0.219	0.71	0.40
25	36	0.596	0.546	0.82	0.79
25	35	0.594	0.565	0.90	0.87
22	81	0.593	0.341	0.77	0.66
135	137	0.593	0.560	0.83	0.81
29	59	0.593	0.537	0.59	0.58
25	38	0.590	0.569	0.87	0.86
22	26	0.589	0.511	0.47	0.40
26	35	0.586	0.542	0.90	0.89
75	221	0.584	0.227	0.72	0.37
25	40	0.584	0.571	0.84	0.82
26	37	0.583	0.544	0.89	0.88
29	195	0.583	0.117	0.67	0.26
129	132	0.581	0.558	0.82	0.80
29	136	0.579	0.177	0.58	0.33
25	33	0.570	0.531	0.68	0.67
26	40	0.569	0.549	0.83	0.81
111	135	0.568	0.538	0.84	0.82
29	150	0.565	0.420	0.56	0.51
20	228	0.565	0.113	0.30	0.22
26	36	0.565	0.534	0.81	0.79
25	29	0.565	0.327	0.53	0.44
115	140	0.564	0.547	0.84	0.83
118	236	0.563	0.203	0.29	0.23
26	39	0.561	0.539	0.80	0.79
22	165	0.561	0.128	0.64	0.37
29	226	0.560	0.412	0.73	0.60
58	118	0.556	0.162	0.51	0.30
20	226	0.556	0.460	0.79	0.73
53	198	0.555	0.111	0.76	0.28
99	216	0.555	0.217	0.68	0.39
21	26	0.554	0.488	0.31	0.24
85	155	0.553	0.279	0.39	0.32
20	225	0.552	0.501	0.70	0.67
53	76	0.549	0.531	0.79	0.77
27	159	0.549	0.273	0.51	0.40
26	38	0.548	0.524	0.85	0.83
25	39	0.548	0.514	0.79	0.78
25	31	0.544	0.515	0.84	0.83
95	97	0.542	0.503	0.86	0.83
25	34	0.540	0.506	0.67	0.65
22	25	0.540	0.459	0.46	0.43
21	125	0.537	0.219	0.29	0.24
117	229	0.536	0.440	0.50	0.47
37	115	0.535	0.273	0.81	0.65
136	193	0.535	0.179	0.58	0.39
52	195	0.534	0.267	0.73	0.49
29	32	0.534	0.287	0.57	0.47
198	207	0.533	0.274	0.25	0.21
20	192	0.532	0.372	0.38	0.35
39	40	0.531	0.486	0.75	0.72
28	159	0.531	0.343	0.51	0.42
139	140	0.530	0.504	0.82	0.79
26	31	0.530	0.509	0.82	0.80
154	239	0.529	0.490	0.71	0.70
4	58	0.529	0.434	0.50	0.49
21	25	0.529	0.447	0.23	0.22
189	190	0.528	0.357	0.57	0.44
115	191	0.528	0.281	0.43	0.35
22	125	0.528	0.129	0.30	0.28
25	41	0.527	0.483	0.71	0.68
61	236	0.527	0.491	0.51	0.50
154	238	0.526	0.499	0.73	0.71
4	32	0.525	0.254	0.35	0.34
40	48	0.525	0.398	0.78	0.65
214	225	0.524	0.115	0.63	0.31
208	227	0.523	0.415	0.74	0.68
95	96	0.523	0.484	0.85	0.82
126	150	0.523	0.397	0.29	0.26
125	140	0.522	0.410	0.78	0.73
60	155	0.522	0.382	0.64	0.57
210	216	0.520	0.301	0.53	0.43
121	150	0.519	0.361	0.35	0.27
22	42	0.519	0.460	0.83	0.82
39	90	0.518	0.491	0.74	0.72
28	60	0.517	0.272	0.64	0.44
154	240	0.516	0.486	0.71	0.69
29	143	0.516	0.242	0.48	0.35
26	33	0.513	0.475	0.67	0.65
36	115	0.510	0.468	0.73	0.71
26	34	0.510	0.477	0.66	0.64
115	141	0.508	0.494	0.74	0.73
139	141	0.507	0.385	0.74	0.64
20	191	0.507	0.424	0.42	0.39
121	140	0.507	0.271	0.82	0.57
17	177	0.505	0.461	0.72	0.69
69	146	0.502	0.478	0.75	0.71
122	140	0.501	0.473	0.81	0.79
95	174	0.499	0.430	0.76	0.74
20	152	0.498	0.306	0.68	0.55
135	142	0.497	0.438	0.78	0.73
29	31	0.496	0.103	0.73	0.34
153	192	0.489	0.321	0.66	0.57
111	153	0.489	0.457	0.63	0.61
129	141	0.489	0.265	0.63	0.49
31	32	0.488	0.117	0.82	0.52
95	159	0.488	0.419	0.46	0.44
22	236	0.487	0.266	0.51	0.38
174	179	0.487	0.246	0.74	0.56
20	130	0.486	0.273	0.46	0.38
29	41	0.486	0.292	0.66	0.52
115	226	0.483	0.207	0.75	0.54
26	41	0.480	0.434	0.69	0.66
139	143	0.480	0.465	0.75	0.74
20	55	0.475	0.385	0.42	0.40
122	159	0.475	0.132	0.51	0.37
139	142	0.474	0.347	0.75	0.61
147	192	0.474	0.344	0.43	0.39
126	140	0.474	0.242	0.82	0.57
0	223	0.471	0.388	0.64	0.55
159	214	0.470	0.385	0.47	0.45
29	153	0.470	0.183	0.58	0.35
115	142	0.470	0.435	0.80	0.78
131	159	0.469	0.234	0.52	0.44
21	81	0.469	0.239	0.66	0.53
52	210	0.469	0.094	0.49	0.27
111	132	0.468	0.339	0.84	0.83
125	142	0.468	0.419	0.78	0.75
3	78	0.467	0.334	0.46	0.42
18	75	0.467	0.093	0.67	0.29
75	157	0.467	0.093	0.69	0.35
7	95	0.465	0.397	0.56	0.53
20	140	0.465	0.444	0.80	0.78
3	55	0.465	0.342	0.41	0.40
20	23	0.464	0.223	0.47	0.39
104	219	0.464	0.322	0.44	0.35
24	154	0.464	0.121	0.60	0.35
125	143	0.462	0.436	0.70	0.69
2	115	0.462	0.234	0.51	0.41
22	185	0.461	0.104	0.35	0.27
85	125	0.460	0.098	0.52	0.28
