i	j	iLIS_best	iLIS_avg	ipTM_best
12205	5526	0.781	0.752	0.76
572	5960	0.777	0.168	0.45
12205	4680	0.774	0.740	0.54
8549	9525	0.766	0.595	0.81
12205	5527	0.765	0.739	0.78
2887	9432	0.765	0.734	0.82
6903	4573	0.765	0.455	0.70
12205	2883	0.763	0.733	0.81
12205	3400	0.762	0.743	0.77
1057	11152	0.761	0.101	0.80
11152	12368	0.761	0.196	0.82
12205	1057	0.759	0.731	0.53
6076	8561	0.758	0.605	0.76
7833	7835	0.758	0.744	0.91
12205	79	0.758	0.713	0.80
12205	5425	0.756	0.741	0.69
11152	10588	0.756	0.180	0.83
9662	11152	0.755	0.105	0.82
2899	9598	0.753	0.203	0.77
12205	4899	0.752	0.725	0.81
6903	11093	0.751	0.454	0.73
11152	12374	0.751	0.134	0.84
8561	4936	0.750	0.725	0.73
12717	3061	0.749	0.188	0.58
12205	2887	0.749	0.506	0.82
12205	3819	0.748	0.729	0.76
12205	2084	0.748	0.722	0.68
12205	3061	0.747	0.726	0.63
8640	9049	0.747	0.354	0.85
12205	12378	0.747	0.666	0.63
11152	4822	0.746	0.045	0.76
12205	5437	0.745	0.728	0.78
12205	9055	0.744	0.633	0.81
8640	7516	0.744	0.301	0.83
7124	577	0.744	0.149	0.64
11152	9049	0.743	0.105	0.83
8997	3919	0.743	0.280	0.66
5891	7929	0.742	0.148	0.81
2538	577	0.741	0.558	0.66
2899	11152	0.741	0.069	0.79
12205	12372	0.741	0.693	0.76
577	4537	0.740	0.404	0.74
12205	4537	0.738	0.692	0.81
11152	5527	0.737	0.122	0.75
12717	3400	0.737	0.172	0.69
577	5239	0.736	0.147	0.81
12205	9304	0.736	0.335	0.55
6386	11152	0.736	0.116	0.80
8444	5097	0.736	0.417	0.72
2700	10610	0.735	0.242	0.85
11152	9520	0.735	0.236	0.82
12717	9525	0.734	0.711	0.77
10954	5009	0.734	0.345	0.89
13066	1747	0.733	0.316	0.85
9661	11152	0.733	0.101	0.81
8640	9050	0.733	0.147	0.86
13066	10725	0.733	0.686	0.84
577	3919	0.733	0.163	0.64
9953	3404	0.732	0.263	0.87
328	12717	0.732	0.719	0.52
5009	577	0.732	0.198	0.87
858	9842	0.732	0.158	0.56
7833	12203	0.732	0.574	0.63
9842	11152	0.730	0.139	0.83
11152	4368	0.730	0.125	0.86
11624	1057	0.729	0.622	0.72
572	5368	0.729	0.160	0.61
7691	517	0.729	0.553	0.73
12717	4948	0.729	0.572	0.65
9464	2263	0.729	0.453	0.72
11152	4356	0.728	0.243	0.77
3246	577	0.728	0.476	0.80
577	12826	0.728	0.168	0.71
12267	3717	0.727	0.280	0.72
2912	11152	0.727	0.129	0.82
11624	9049	0.727	0.568	0.73
8072	9413	0.727	0.145	0.74
1057	13518	0.726	0.167	0.82
12205	92	0.726	0.627	0.82
6903	9304	0.726	0.412	0.67
9841	11152	0.726	0.159	0.83
858	5248	0.725	0.145	0.62
858	3919	0.725	0.178	0.64
2443	1447	0.725	0.524	0.67
12717	5585	0.725	0.427	0.67
12205	4632	0.725	0.211	0.58
6903	2628	0.724	0.280	0.73
577	5531	0.724	0.327	0.60
1447	12367	0.724	0.294	0.75
8128	7929	0.723	0.321	0.82
572	7689	0.723	0.279	0.66
11079	13050	0.723	0.267	0.72
11152	4409	0.723	0.360	0.83
6576	8472	0.723	0.644	0.85
2144	7	0.723	0.171	0.84
12203	7692	0.722	0.584	0.65
10954	10730	0.722	0.188	0.74
11152	5228	0.722	0.232	0.75
11624	5020	0.721	0.300	0.72
11624	12374	0.721	0.482	0.73
577	5214	0.721	0.194	0.64
577	4638	0.721	0.192	0.62
662	5527	0.720	0.494	0.74
8561	3705	0.720	0.157	0.74
12205	5069	0.720	0.651	0.81
12848	3484	0.720	0.249	0.82
2628	10954	0.720	0.208	0.73
572	9527	0.720	0.079	0.48
4680	8147	0.719	0.367	0.59
12203	7691	0.719	0.453	0.65
8561	12373	0.719	0.548	0.71
9464	12372	0.718	0.280	0.72
577	4822	0.718	0.207	0.60
6584	10800	0.718	0.527	0.66
12205	2700	0.718	0.507	0.69
11152	6081	0.718	0.151	0.83
8631	5002	0.717	0.605	0.88
7455	11152	0.717	0.155	0.80
9464	3755	0.717	0.362	0.75
12717	10725	0.717	0.207	0.76
9491	12717	0.717	0.654	0.51
6903	6516	0.716	0.211	0.64
10954	7516	0.716	0.358	0.73
10605	5368	0.716	0.375	0.71
858	5075	0.716	0.143	0.69
8967	5071	0.716	0.254	0.79
12203	7688	0.716	0.580	0.66
572	7691	0.716	0.286	0.66
8640	12379	0.715	0.315	0.79
858	5155	0.715	0.166	0.65
11624	6451	0.715	0.454	0.75
13855	7687	0.715	0.406	0.71
11624	4612	0.715	0.682	0.77
13855	7686	0.714	0.303	0.69
8561	5115	0.714	0.202	0.72
10630	4417	0.714	0.256	0.51
9492	12717	0.714	0.628	0.54
1226	577	0.714	0.143	0.65
12717	2627	0.714	0.375	0.62
12680	577	0.714	0.421	0.65
3193	12894	0.714	0.205	0.74
12205	91	0.714	0.556	0.78
11624	5425	0.714	0.452	0.70
858	9841	0.713	0.163	0.56
517	4081	0.713	0.143	0.81
12267	12382	0.713	0.189	0.82
1530	577	0.713	0.143	0.68
2105	12894	0.713	0.213	0.64
858	12377	0.712	0.172	0.52
8444	7701	0.712	0.340	0.75
5425	8147	0.712	0.423	0.73
7833	577	0.712	0.158	0.59
517	4573	0.712	0.270	0.77
8561	4341	0.712	0.384	0.85
12848	2013	0.712	0.171	0.84
10708	265	0.712	0.621	0.79
9413	5132	0.712	0.283	0.73
7886	858	0.711	0.167	0.85
8640	9523	0.711	0.142	0.86
8155	4680	0.711	0.174	0.65
9464	3061	0.710	0.310	0.63
11152	5438	0.710	0.146	0.82
970	13066	0.710	0.506	0.86
3819	8147	0.710	0.438	0.81
9493	12717	0.710	0.430	0.58
10749	577	0.710	0.142	0.71
858	2628	0.709	0.413	0.75
12848	10753	0.709	0.278	0.84
11152	7516	0.709	0.044	0.82
12717	2629	0.709	0.168	0.69
9464	7516	0.709	0.190	0.72
572	7686	0.709	0.294	0.66
7880	7929	0.709	0.073	0.74
12205	5070	0.709	0.687	0.80
12848	13296	0.709	0.297	0.86
11152	8121	0.708	0.223	0.81
11152	7155	0.708	0.076	0.84
6516	10800	0.708	0.432	0.63
13875	3067	0.707	0.281	0.73
13066	9051	0.707	0.439	0.84
2375	1447	0.707	0.387	0.74
517	4610	0.706	0.697	0.79
7887	8561	0.706	0.470	0.79
8072	858	0.706	0.545	0.43
