i	j	iLIS_best	iLIS_avg	ipTM_best
2883	3901	0.783	0.770	0.77
2084	3901	0.774	0.737	0.79
13395	2883	0.765	0.760	0.79
13395	2084	0.764	0.731	0.80
9523	9515	0.761	0.189	0.80
383	6488	0.758	0.451	0.92
2084	3275	0.758	0.732	0.71
12205	2883	0.757	0.727	0.82
12205	2084	0.756	0.703	0.71
2883	1472	0.742	0.723	0.76
2883	3275	0.741	0.728	0.77
2084	1472	0.738	0.720	0.72
2084	10580	0.732	0.717	0.63
2883	10580	0.725	0.667	0.82
7974	3034	0.650	0.640	0.57
11624	114	0.614	0.585	0.42
13890	10605	0.537	0.107	0.40
8549	7821	0.537	0.498	0.47
8267	10772	0.531	0.497	0.78
12320	11296	0.527	0.509	0.80
381	11291	0.526	0.251	0.88
383	11291	0.524	0.494	0.89
10278	1135	0.523	0.203	0.48
890	11048	0.518	0.339	0.87
8267	10771	0.515	0.481	0.77
8267	44	0.514	0.491	0.85
13889	11798	0.509	0.467	0.84
8725	12749	0.507	0.487	0.85
11296	12322	0.503	0.484	0.58
8267	46	0.499	0.472	0.84
7025	3514	0.498	0.100	0.72
9755	798	0.491	0.452	0.66
9675	6108	0.490	0.373	0.54
424	13888	0.483	0.463	0.65
12322	806	0.482	0.203	0.54
13138	7707	0.478	0.417	0.32
12267	10580	0.475	0.276	0.32
8227	13888	0.474	0.282	0.36
12267	6308	0.472	0.200	0.40
10278	6354	0.471	0.129	0.46
8267	10773	0.471	0.436	0.80
8264	44	0.470	0.408	0.84
8264	46	0.466	0.428	0.86
8267	47	0.465	0.444	0.82
8264	137	0.463	0.403	0.87
13019	11861	0.461	0.432	0.74
8264	10770	0.455	0.415	0.75
8267	7604	0.454	0.414	0.74
7025	10604	0.453	0.428	0.50
8264	9984	0.452	0.438	0.79
8267	11149	0.451	0.442	0.73
8267	137	0.450	0.431	0.87
8264	11853	0.450	0.415	0.72
7025	4801	0.448	0.090	0.53
13410	9404	0.446	0.412	0.72
8230	13892	0.445	0.417	0.61
8264	473	0.443	0.434	0.75
8962	8967	0.443	0.217	0.55
6651	12741	0.442	0.135	0.76
8230	13888	0.442	0.409	0.54
10205	11060	0.439	0.388	0.79
10930	967	0.438	0.088	0.37
8267	154	0.438	0.194	0.75
8264	11849	0.436	0.431	0.76
12740	6651	0.430	0.086	0.77
8264	47	0.430	0.387	0.84
10605	12676	0.429	0.200	0.42
6651	12742	0.429	0.086	0.78
13881	8187	0.429	0.300	0.35
8264	10769	0.429	0.397	0.73
12454	9404	0.426	0.085	0.40
8264	472	0.426	0.422	0.73
5773	10580	0.426	0.108	0.38
9675	8264	0.425	0.387	0.75
13890	2514	0.425	0.085	0.36
13202	806	0.423	0.103	0.73
9539	8457	0.422	0.276	0.65
7558	12734	0.421	0.084	0.76
10278	4270	0.418	0.084	0.80
8228	13893	0.415	0.304	0.46
9202	9471	0.414	0.101	0.58
11626	11628	0.411	0.302	0.36
8229	13888	0.406	0.119	0.41
13881	114	0.405	0.156	0.31
13441	9404	0.404	0.361	0.71
8264	11852	0.404	0.333	0.73
13891	8230	0.401	0.369	0.38
8228	13888	0.398	0.385	0.52
10278	12320	0.397	0.079	0.68
9853	13845	0.397	0.364	0.54
11625	8172	0.393	0.079	0.48
10278	12758	0.393	0.079	0.68
11941	12224	0.392	0.335	0.60
8264	11149	0.392	0.341	0.68
12751	6651	0.388	0.078	0.78
12324	806	0.387	0.179	0.67
890	10999	0.383	0.327	0.83
11625	7558	0.379	0.162	0.45
40	9475	0.378	0.166	0.64
302	472	0.378	0.268	0.68
9853	5773	0.378	0.192	0.49
11826	114	0.374	0.161	0.39
12267	3901	0.374	0.183	0.59
12799	6308	0.373	0.250	0.46
9028	727	0.373	0.190	0.49
8267	11054	0.372	0.152	0.66
10278	12676	0.371	0.178	0.54
9853	6471	0.371	0.190	0.43
12267	9952	0.367	0.196	0.36
10408	9614	0.367	0.176	0.56
12267	12324	0.366	0.222	0.64
12205	9614	0.366	0.090	0.52
1472	12224	0.365	0.099	0.56
11300	13121	0.363	0.239	0.46
13353	10771	0.363	0.112	0.51
13889	517	0.362	0.229	0.64
9476	862	0.360	0.147	0.54
9202	3514	0.359	0.107	0.66
9113	9531	0.357	0.071	0.71
359	11149	0.355	0.195	0.54
12267	6044	0.353	0.092	0.60
858	3514	0.350	0.137	0.62
8267	11849	0.350	0.114	0.69
7821	12320	0.349	0.070	0.63
12444	12450	0.348	0.110	0.59
9470	9853	0.347	0.281	0.53
8267	11847	0.347	0.144	0.64
11826	11625	0.345	0.069	0.39
6651	12737	0.343	0.069	0.67
9202	6319	0.342	0.098	0.47
7628	11826	0.336	0.106	0.46
13121	5891	0.336	0.094	0.69
12183	7980	0.335	0.067	0.46
8267	10500	0.335	0.170	0.62
9659	9202	0.335	0.067	0.75
8264	154	0.334	0.264	0.66
8725	12757	0.333	0.067	0.72
9202	9472	0.332	0.084	0.51
13442	7401	0.331	0.221	0.59
8264	9573	0.329	0.320	0.62
9853	9821	0.329	0.083	0.45
12267	6571	0.328	0.089	0.39
9321	12224	0.327	0.213	0.54
7558	9993	0.326	0.065	0.48
8264	7606	0.324	0.294	0.63
13429	9404	0.324	0.185	0.68
6651	8659	0.322	0.298	0.42
9486	225	0.322	0.107	0.37
7821	12321	0.321	0.108	0.56
9028	862	0.321	0.224	0.45
8267	7196	0.319	0.198	0.65
13267	7707	0.319	0.208	0.46
8229	13873	0.318	0.173	0.34
5908	11291	0.317	0.093	0.51
890	12488	0.316	0.110	0.52
6539	9613	0.316	0.074	0.41
13121	8960	0.311	0.062	0.49
13784	7558	0.311	0.097	0.34
10278	8111	0.310	0.074	0.46
424	13873	0.309	0.212	0.65
13371	6308	0.307	0.142	0.35
10278	12739	0.307	0.085	0.68
12733	6651	0.307	0.154	0.68
304	5121	0.306	0.261	0.49
8046	9953	0.306	0.092	0.32
13051	5566	0.306	0.109	0.57
1477	12373	0.302	0.060	0.58
11826	11531	0.302	0.060	0.41
11852	4664	0.301	0.081	0.58
9984	12753	0.300	0.060	0.67
8227	8229	0.298	0.250	0.51
727	10421	0.298	0.156	0.61
8957	13218	0.296	0.084	0.41
8944	13268	0.296	0.233	0.60
9028	12740	0.295	0.078	0.70
8720	13621	0.295	0.059	0.50
12205	12224	0.294	0.079	0.44
12205	9645	0.292	0.094	0.34
325	10770	0.289	0.220	0.49
40	6308	0.289	0.095	0.44
8227	13893	0.288	0.215	0.45
11826	7170	0.286	0.171	0.39
359	6142	0.285	0.057	0.33
7216	10606	0.285	0.115	0.46
65	472	0.279	0.210	0.55
13265	7707	0.278	0.194	0.35
11826	3911	0.277	0.117	0.35
9028	12216	0.275	0.058	0.44
902	12224	0.275	0.159	0.53
3180	9202	0.274	0.071	0.53
325	5165	0.274	0.238	0.50
